Port_IDs,Total_PnL,Total_Investment,ROI,Total_Positions,Win_Positions,Win_Rate,Mean_Return,Std_Return,Sharpe_Ratio,MDD,Score
3886752488982104320,7195.17832464,19926302568.627983,3.610894846075511e-05,1249,931,74.5396317053643,5.760751260720577,25.982851666186072,0.2209438492154253,38.20810000000006,7.332600328522014
3887577207880438784,2417.51403674,45734371.5208804,0.0052859894130965895,6050,2893,47.81818181818182,0.39958909698181816,4.545387135469172,0.08351083981818794,577.6136464800004,-105.93245388359433
3891020560590657281,2856.30056379,42016.742447307704,6.798005741097196,437,283,64.75972540045767,6.536156896544623,15.113304301283254,0.4311536886074175,0.0,15.120692909002917
3907081197088384000,18015.99737026,46979755.160843976,0.03834842754837454,4137,2540,61.39714769156394,4.354845871467247,19.552191904378006,0.2217063893740024,2060.707122380003,-399.78397849261114
3910887259807777281,1803.30201001,8495697506.985821,2.1226061880465795e-05,75,17,22.666666666666664,24.044026800133334,222.02093966966214,0.1082061306283899,663.3218999799999,-128.09857845565958
3910983669796782848,6761.64804825,6521970409.966459,0.00010367492679692752,640,274,42.8125,10.565075075390626,31.914908768879208,0.3304121954963354,201.72342223000032,-31.683029684873127
3911997667197443328,605.72231024,567423696.0342627,0.00010674956200691074,64,30,46.875,9.4644110975,54.753237220622104,0.17249046041688443,229.55157354000002,-36.48353554500634
3914654298562589441,343.47044904999996,8009115984.231226,4.288493882798587e-06,483,200,41.40786749482402,0.711118942132505,64.78359706696081,0.010668116211857754,3893.0689187699995,-770.3290085336234
3919174299855478272,1456.3718076199998,31697866680.329765,4.594542031195295e-06,1267,609,48.06629834254144,1.1494647258247828,100.026440275016,0.01129166171183734,9684.34458371,-1927.252268196616
3923766029921022977,772.72903189,11288280475.339321,6.845409569492223e-06,1259,359,28.51469420174742,0.6137641238204924,8.479630691024072,0.0700224037408856,205.53265760000016,-35.38258390490541
3925368433214965504,6789.43673863,25085669691.94964,2.70650009427846e-05,1458,486,33.33333333333333,4.656678147208505,16.94117395267621,0.273692847978581,162.05753631999778,-25.662724623439036
3926423286576838657,1309.45995959,19423663253.183983,6.74157053961152e-06,478,163,34.10041841004184,2.7394559824058575,54.50586790175019,0.049892903041335396,1119.0932,-216.9835864246081
3930688517098515713,1947.24457347,30299230496.465477,6.426712961232311e-06,288,140,48.61111111111111,6.761265880104166,107.12635652245993,0.06292817285063554,1193.9074265099998,-229.04038269990866
3931992636670880512,10374.96528998,1526164743.275052,0.0006798063797304075,6050,2430,40.16528925619834,1.7148702958644628,33.759764469534126,0.05020385427730004,1651.1316999599999,-322.1780170425632
3932103299427844097,3860.30970535,53714731264.60666,7.186687179599852e-06,2589,778,30.050212437234453,1.4910427598879876,17.89492409135906,0.08220447051788901,669.4568359399998,-127.85666120339157
3935808725185052672,2301.96412286,21769025034.55451,1.0574493433702408e-05,1715,602,35.10204081632653,1.3422531328629737,21.22009709420374,0.06231136111173339,1394.9714398600001,-271.9551832280532
3936410995029308417,10681.514,37545663581.11074,2.84493946336159e-05,20,6,30.0,534.0757,1786.3037320897977,0.29897250417498034,0.0,6.089700286070884
3937714876784951296,1117.5308932100002,39301394088.1237,2.8434891920225837e-06,511,201,39.33463796477495,2.18694891039139,134.049800225294,0.016165252814621545,3858.82450985,-763.893123948154
3939318616482048768,9775.38910984,3160438811.436037,0.0003093048052209645,315,118,37.46031746031746,31.032981301079364,152.249734419242,0.2036980978612453,87.00335997999991,-9.84740628313655
3939925275039085824,2378.8786707,104223034.64342435,0.0022824883950451048,5928,2148,36.23481781376518,0.40129532231781373,1.7760101547774607,0.21469208455375705,78.62181990000008,-8.412308045362337
3941019213896463617,4234.08779003,48061893561.768425,8.809656624511504e-06,112,55,49.107142857142854,37.804355268125,430.7028412013276,0.08772720226951809,4944.99999998,-979.1522506209936
3942630767220672256,6611.89848042,6137883774.315176,0.00010772277096689911,4969,1903,38.29744415375327,1.3306295996015294,19.573928613884114,0.06695792272747321,6083.72668798,-1209.0657290716
3943533600390906881,2361.42457205,1183734801.6915572,0.00019948932553774069,1759,964,54.80386583285958,1.3424812803013075,3.1360581717858125,0.42170176950136967,32.30352141000003,4.626639262219983
3944088772635000577,7581.4919834,3482269711.5269217,0.00021771696656074443,6063,2774,45.75292759360053,1.250452248622794,4.1801422401462265,0.29435655007274375,97.2037250300009,-10.201787207168284
3944239644144231424,-1187.89097568,30734895109.575264,-3.8649586128241585e-06,858,227,26.456876456876454,-1.3844883166433568,58.34014508090987,-0.024074131366926186,5867.434541539999,-1168.2027564155223
3944658614777849089,2074.44997996,2951061777.661301,7.029503738833923e-05,45,20,44.44444444444444,46.09888844355555,113.12878081739643,0.40731357759377307,0.0,9.011104050678238
3946087913459823360,-40.66724167,2564402.30992298,-0.0015858370394004756,6085,1930,31.71733771569433,-0.006683195015612161,1.1707457362471296,-0.022791622629475608,453.51285960000007,-84.36641761476182
3949214983441029120,1317.57755896,7980476125.30815,1.6510011912467496e-05,4530,1675,36.9757174392936,0.29085597328035323,4.949088714196273,0.05472845384715233,131.15652971999998,-18.81973896698356
3949329502284748801,425.96505788999997,1547934340.8982105,2.7518289803095126e-05,384,72,18.75,1.1092840049218748,8.152221111289956,0.13361806433504764,44.74980000999997,-5.159866327212541
3951723256343550465,5260.02286389,18218013636.07711,2.8872647528782076e-05,3447,1215,35.24804177545692,1.5259712398868581,26.139378015890454,0.05761312449635792,1073.1449283800025,-207.56208472176598
3952087967771302912,1032.6052598600002,6995901317.949092,1.4760146161734557e-05,172,58,33.72093023255814,6.00351895267442,34.56870807681986,0.1730906153443057,0.0,6.796117659158768
3953433416230728705,4924.76177998,68743192209.9229,7.16399925819727e-06,527,110,20.872865275142317,9.344899013244781,55.92264411921123,0.16674638976953127,675.6869999,-130.91280085884094
3953764659057081857,6048.86608919,103859031014.38873,5.824111808198927e-06,583,180,30.874785591766724,10.37541353205832,83.65181387475084,0.12379185880611203,957.0232210199965,-185.19254778077058
3956048468100538880,1373.56489,5642141185.052696,2.4344745105614923e-05,28,20,71.42857142857143,49.055888928571434,93.46437752242942,0.5246478950421928,0.0,14.443115957650477
3956076827719377409,16790.01223802,6482968569.46559,0.0002589864821665185,3916,2019,51.55771195097037,4.287541429525025,43.07873842120432,0.09906375130578211,635.0500145299998,-116.6686636944695
3957509601040585217,3174.1803667200006,58033527764.971535,5.469563007741026e-06,1113,300,26.954177897574123,2.851914076118599,113.03618401623498,0.025053164177161722,3268.44,-648.2896468303633
3960874214179953664,19567.47128569,309468304886.89703,6.322932260491563e-06,2391,1233,51.568381430363864,8.18380229430782,50.22345523955642,0.16254959471362576,2233.99999999,-436.4375569366335
3962024093501274881,9314.494060179999,310340329594.84155,3.0013804755380474e-06,1273,337,26.472898664571876,7.316963126614296,98.78819798616605,0.07386472549723133,1828.4947021299995,-360.38220037502225
3966142151544441601,4883.80077594,23405192411.281357,2.086631329544634e-05,1932,1028,53.20910973084886,2.527847192515528,48.159777108890005,0.052073480050483754,1661.4546297300017,-321.63347569592145
3975304792994095360,2536.0810463,3868075.163687325,0.06556442000166374,2438,1040,42.65791632485644,1.040230125635767,3.9618003386439145,0.2575167949995637,91.88800600000013,-9.74909357052837
3975392755164484097,2330.27031414,37851459582.68716,6.1563552365780905e-06,1829,512,27.99343903772553,1.274067968365227,13.382341305279779,0.0937106549412587,451.2251471999999,-84.61822658906594
3976088733682659585,5901.15009982,2614708502.4025893,0.0002256905538188132,2814,1226,43.56787491115849,2.0970682657498223,14.901898756618358,0.1393827927348746,1074.721004,-206.1887432727817
3977078013600312321,4622.3514376,20015384513.13029,2.3093992696306644e-05,5018,1638,32.64248704663213,0.9211541326424871,10.277425266694822,0.08768286893437996,753.4702992500004,-144.13925065179555
3977116548751698176,603.9805007599999,90874386097.6916,6.646322761517311e-07,1624,456,28.078817733990146,0.37190917534482754,12.387168520108052,0.02840916992237366,905.2161011399996,-175.4189337308355
3977234346014419201,2427.29283086,6644.565672956543,36.530496503919125,83,33,39.75903614457831,29.244491938072287,95.96668749567114,0.3045274636512857,0.0,19.00231441918678
3978449781300392193,5888.6560088,65630583385.68717,8.972426733119986e-06,784,344,43.87755102040816,7.51104082755102,61.64546154200155,0.12151812380295135,1201.615229999999,-231.51107766704928
3981810242465907713,2836.47282999,475053455.57324713,0.0005970849799560404,105,12,11.428571428571429,27.01402695228571,137.07630756882466,0.19692700679679656,181.88830446,-34.03268937875269
3983074113875692800,2424.82951996,12906.349788555399,18.787880072103718,43,14,32.55813953488372,56.39138418511629,156.55636271025622,0.36007086016327916,0.0,12.256013186656844
3986814617275053313,16337.46188064,17716862.373792324,0.09221419422892395,3554,2780,78.22172200337648,4.596922307439504,13.939082864169066,0.3283517539883958,2.3819474699994316,15.294124691140608
3987739404272887297,12464.6063154,48204132.268897526,0.02585796223001916,6050,1381,22.826446280991735,2.060265506677686,41.302368708330235,0.04939826868249778,3386.656093979994,-672.7433526705266
3988071780777702657,3424.4699222,6327452442.455515,5.412083225189844e-05,2385,890,37.316561844863735,1.4358364453668764,38.45200052604044,0.03682087865384388,135.64724225000055,-19.655073581181536
3988187872032603905,2599.76167062,1712667440.4325926,0.00015179605854849097,5238,1711,32.665139366170294,0.4963271612485682,5.296804997435283,0.08992726020293482,1194.0331292399999,-232.2465742578875
3988205565930333696,3283.93800993,24082965103.05136,1.3635937252236099e-05,371,141,38.00539083557952,8.851584932425876,119.70926770514684,0.0737752815778537,2247.3695699599994,-441.85069914962946
3991414786174551297,1787.98771569,2408229843.2731647,7.42448948834486e-05,311,93,29.903536977491964,5.749156642090032,47.12026369355092,0.12158583575316768,372.9699,-68.57677458030719
3993014919980212480,3078.66301039,4830416352.581448,6.37349409589655e-05,695,331,47.62589928057554,4.4297309502014395,31.42715346540927,0.14031595177893127,60.840000000000146,-2.6007062378689554
3993222640082269952,1884.46844302,3347247112.2319174,5.6299053515754664e-05,3087,1434,46.45286686103013,0.61045301037253,6.643820321857385,0.08887251336855231,314.1775242199999,-53.51825282806734
3994879592543698688,3658.7650624,1155451161.674461,0.00031665250629007784,653,361,55.283307810107196,5.603009283920367,46.932822981420834,0.11895745726035908,175.48129108000091,-24.00381442104875
3995532094997544704,-12346.6822186,222231697753.86185,-5.555770100930818e-06,6051,1295,21.401421252685505,-2.040436658172203,31.75898959786461,-0.06487727362430766,14186.535463309989,-2833.046273260279
3996598927198996481,3509.04461888,201068040.97774646,0.0017452025701430937,2661,980,36.8282600526118,1.3186939567380684,11.628572875096888,0.1116812845984979,160.68430589999957,-24.737181223326964
